Lignin ID,9_3002
Adjacency matrix
,1S,2G,3S,4S,5G,6S,7S,8S,9G,
1S,0,1,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,
3S,0,0,0,1,0,0,0,0,0,
4S,0,0,0,0,1,0,0,0,0,
5G,0,0,0,0,0,1,0,0,0,
6S,0,0,0,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,
8S,0,0,0,0,0,0,1,0,0,
9G,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2G,3S,4S,5G,6S,7S,8S,9G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 
3S,0, 4, 0, B, 0, 0, 0, 0, 0, 
4S,0, 0, 4, 0, B, 0, 0, 0, 0, 
5G,0, 0, 0, 5, 0, B, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 
